Unnamed: 0,Date,Venue,URL,Setlist,Notes
0,"September 7, 1968","Teen-Clubs, Box 45, Egegaard Skole",https://www.ledzeppelin.com/show/teen-clubs-box-45-egegaard-skole-september-7-1968,"Setlists during these early shows include: Train Kept 'A Rollin', I Can't Quit You Baby, Dazed and Confused, Communication Breakdown, Flames, White Summer / Black Mountain Side, You Shook Me, Pat's Delight (drum solo), Babe I'm Gonna Leave You and How Many More Times, For Your Love.","Notes
First ever concert by the group, who are billed as The Yardbirds during this short tour of Scandinavia.
Teen-Clubs, Box 45, Egegaard Skole. Ticketprice 5-7 DKR. Show at 19:30 (* Support: Fourways, Bodies). Early show - second performance takes place later this evening at the Brondby Pop Club.
Jimmy Page: ""They don't cheer too madly there, you know? We were really scared, because we only had about fifteen hours to practice together. It was sort of an experimental concert to see if we were any good. I guess."" (Dec. 1968 interview)
Peter Grant: ""Oh, I remember everything about that first show in Copenhagen. I remember everything Jimmy Page had told me about the drummer, Bonzo. And the whole performance. It was so… exciting! Just to be part of it was fantastic. There was never a thought of, God, this is going to sell X amount of records. I thought it could be the best band ever.""
On September 7th 2013, marking the 45th anniversary of Led Zeppelin's first gig, a commemorative plaque was unveiled at the school in Gladsaxe where it all began.
Review: In Teen Club Nyt (Gladsaxe Teen Club's monthly members' magazine) in October 1968, Bent Larsen (who was the magazine's normal reviewer) gave this rave review of the new Yardbirds first concert: ""The English group YARDBIRDS had been rehearsing their new set most of the afternoon. So when they entered the scene they were really hot to get started and give it all. Their performance and their music were absolutely flawless, and the music continued to ring nicely in the ears for some time after the curtains were drawn after their show. Let me in particular give my praise to JIMMY PAGE who has made a great job with the 3 new men. They really succeeded and in particular the guitar solo by Jimmy Page created huge applause. We can therefore conclude that the new YARDBIRDS are at least as good as the old ones were."" [teenclubs.dk]"
1,"September 7, 1968","Brondby Pop-Club, Norregardsskolen",https://www.ledzeppelin.com/show/brondby-pop-club-norregardsskolen-september-7-1968,"Setlists during these early tours include: Train Kept a Rollin', Communication Breakdown, I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer ~ Black Mountain Side, Babe I'm Gonna Leave You and How Many More Times.","Notes
Ticketprice 4-8 DKR, Show at 19:30
Billed as The Yardbirds | Support: Day Of Phonix, The Eyes, Ham
------------------
Press Review:  ""Jimmy Page has put a new band together. The music is the same, only better than ever... Robert Plant should face some small criticism and a lot of praise for an excellent performance. There is no doubt that he is a good singer, but he doesn't have to twist his body like he's having a ruptured appendix, does he? Musically, the band is super-great. Their hard disciplined beat is amazing. Of course, it was foremost Jimmy Page that was responsible for this but the drummer should also be mentioned; a drum solo so wild and good is hard to find. It was so good that one almost wished that John Bonham wouldn't stop."" 
Read more"
2,"September 8, 1968",Reventlowparken,https://www.ledzeppelin.com/show/reventlowparken-september-8-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Evening show
* Advertised as Yard-Birds
* Support: Beatnicks"
3,"September 8, 1968",Fjordvilla Club,https://www.ledzeppelin.com/show/fjordvilla-club-september-8-1968,"Setlists during this period included: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Afternoon show
* Advertised as Yardbirds featuring Jimmy Page
* Support: Lady Birds (Topless Go-Go dancers), Beauty Fools
""This is the second day of the Scandinavian tour, where we were fulfilling some old Yardbirds commitments. We could explore and finesse our material and the set that had been rehearsed at my home in Pangbourne, England. After the short tour of Scandinavia we were due to go to Olympic Studios in London to record what would be Led Zeppelin I. Roskilde was to emerge as a major festival site and is to this day."" - Jimmy Page"
4,"September 8, 1968",Teaterbygningen,https://www.ledzeppelin.com/show/teaterbygningen-september-8-1968,,"Notes
New third show on this date uncovered, based on an article in local press which mentions: ""After Reventlowparken and Roskilde they also played in Koge Popklub"" "
5,"September 12, 1968",Stora Scenen / Grona Lund Amusement Park / Tivoli Garden,https://www.ledzeppelin.com/show/stora-scenen-september-12-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
   "
6,"September 13, 1968",Inside Club,https://www.ledzeppelin.com/show/inside-club-september-13-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Press Review:  “It has been up and down for the Yardbirds. A couple of years ago, they were on top. For a while, a lot of people thought that the Yardbirds would lead the developing English pop but their efforts led nowhere.
The members changed and the Yardbirds currently touring Sweden have very little in common with the original line-up. It is not only the line-up that has changed. The style of music is different, as is the quality - only the name is the same.
Friday night they played the Inside. They were so loud it almost hurt. Sometimes playing loud has an important role in pop, but here it was just superficial effect”. Stockholm Daily News, 9.14.1968 (transcription:LZ The Press Reports, 1997)."
7,"September 14, 1968",Angby Park,https://www.ledzeppelin.com/show/angby-park-september-14-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Press Report: “Blues Group From England – Yardbirds are a well-known band and are guests in Sweden. Those who want to hear the youngsters get an opportunity in Angby Park on Saturday night. Yardbirds perform with a new line-up this season.  Jimmy Page, guitar and violin (bow), has banded with three new qualified musicians. Drummer John Bonham has earlier played with American singer Tim Rose. John Paul Jones, bass, was on Donovan’s three latest LP recordings. Fourth is singer Robert Plant who has a good reputation on the English blues scene.” [Uppsala New Paper, 9-68]"
8,"September 15, 1968",Liseberg Amusement Park,https://www.ledzeppelin.com/show/liseberg-amusement-park-september-15-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Cancelled show."
9,"September 17, 1968",Folkets Park (cancelled),https://www.ledzeppelin.com/show/klub-bongo-september-17-1968-cancelled,Cancelled show.,"Notes
Note: Terry Reid was originally advertised as support act but did not appear. Support Acts: NY Public Library, Juncos Downtown Faction. June 2017: In commemoration of the UK debut of Led Zeppelin, the old site of The Mayfair Ballroom in Newcastle is to be honoured with a Blue Plaque.
Press: Fan recalls Led Zeppelin gig at Newcastle Mayfair
A NORTH music fan has lifted the lid on the night Led Zeppelin played their first ever gig in Newcastle.
Billed as one of the greatest rock bands of all time, Led Zeppelin went on to sell millions of albums worldwide and conquer American stadiums in the late 1960s and 1970s.
But it’s a little known fact that the four-piece started their gigging life on stage at the now defunct Mayfair Ballroom in Newcastle in October, 1968.
As the 44th anniversary of this historic gig passed, North East musician John Woods shared his memories of the night the then relatively unknown band performed together as a foursome for the very first time.
The 68-year-old, whose band Junco Partners supported Led Zeppelin that very night, said: “It’s a long time ago but I remember being asked by the Mayfair promoter to play, supporting them with a couple of other local bands but I didn’t really know much about them.
“I had heard of Robert Plant and Jimmy Page but didn’t really know much about the band.”
It was Jimmy Page’s band the Yardbirds that had originally been booked to play the venue on October 4, 1968 but they had since split.
Page wanted to honour all the pre-booked gigs so he saw it as an opportunity to introduce his new band which was made up of drummer John Bonham, bassist John Paul Jones, Page on guitar and singer Robert Plant
Initially going under the name the New Yardbirds, the hundreds of gig-goers who squeezed into the Mayfair that night were unaware that history was in the making.
“They came on the night and we shared a dressing room back stage with them and they were a good bunch,” said John.
“They weren’t as mad as they came to be but a couple of them were a bit bonkers. Jimmy Page, in particular, definitely seemed a bit bonkers.”
The Junco Partners took to the stage before the New Yardbirds to warm up the crowd before joining the audience to watch the newly-formed band.
John, of Newbiggin-by-the-Sea, Northumberland, said: “We all watched John Bonham on the drums and just remember thinking what a killer drummer he was.
“He had so much power and feel. If a drummer has got the feel it makes the band 20 times better.
“For a four-piece they were loud as hell which is what I like.
“They played all their songs well and they wrote their own material, it all seemed to be going well for them.”
He added: “Playing with a band like that I thought ‘these guys know what it’s all about’.
“It was a good crowd but it wasn’t full because they didn’t have the name at that stage.
“But within one or two years Led Zeppelin were big business.
“After the gig we just sort of put them on the mental back-burner in our heads but when I saw they had done so well I was really chuffed because that’s the sort of story you can tell to your mates.”
John, who owns Flip Vintage in Newcastle City Centre, says he still looks back on the night with fond memories and counts himself lucky to have been involved in the now monumental night.
“Looking back now I think we did watch them and appreciate what they did and, even though Robert Plant was a little vain, he was a great singer,” remembered John.
l In 2007, 20 million rock fans applied online for 18,000 tickets to Led Zeppelin’s one-off reunion at the O2 Arena, London. Now, five years on, that concert will be finally released on the DVD, Celebration Day, next month.
http://www.sundaysun.co.uk/news/north-east-news/2012/10/14/fan-recalls-l...
Oct 14 2012 by Ruth Lawson, Sunday Sun
  Led Zeppelin's first gig - Newcastle Mayfair - 4th October 1968
by Hazel Plater and Ian Ravendale
I'm very proud that this story, written by Ian Ravendale (real name Ian Penman, but he writes articles under this name to avoid confusion with former NME writer Ian Penman), has appeared in Classic Rock magazine this month thanks to input from the North East Music History Facebook group.  Turns out Led Zeppelin's first gig was at Newcastle's Mayfair - 4th October 1968 - a fact hitherto unreported.  The article tells the full story and includes first hand accounts from NEMH group members Ray Laidlaw and Charlie Foskett, a late-friend's tale told by John Porteous and additional research by Marshall Hall.  Well done everyone concerned - Led Zeppelin history, North East Music History and a fine story unveiled!  The magazine is available from all good newsagents or by subscription from http://www.classicrockmagazine.com/
Led Zeppelin's first gig featured in Classic Rock magazine October 2012
After I posted the above article, Ian himself got in touch with me, to elaborate on how the Classic Rock story happened:
""The legendary Led Zeppelin played their first handful of UK gigs under the name The New Yardbirds, a roll-over from leader Jimmy Page's former band whose final gig obligations they were honouring.  The first of these shows was at Newcastle Mayfair ballroom on 4 October 1968 with support slots from local bands Downtown Faction and The Junco Partners plus New York Public Library, originally from Leeds but based in London by this time. I'd found out about the show while researching another possible locally based Led Zeppelin story.  The fact that Zep made their UK debut on Tyneside and under a different name jumped out to me as a potentially fascinating subject for an article and Classic Rock agreed.
Still being billed as The Yardbirds, on the night they were billed as The New Yardbirds
If anything was going to stretch my super-researcher powers it was locating the support bands, audience members, promoter and Mayfair staff and then getting some good stories and anecdotes out of them.  The gig was, after all, 44 years ago!  But, pulling in favours and with the invaluable help of a notice on the main NEMH site, I got the response I needed from people who were at a gig that was, by most accounts, not very well attended.
In addition to interviewing Ray Laidlaw (Downtown Faction) and Junco Partners Bob Sargeant and Charlie Harcourt I also spoke to promoter Fraser Suffield and Brian Greenaway who was the manager of the Mayfair in 1968 that I located via a lead from Marshall Hall.  Brian was seriously ill when I went up to chat with him in hospital in Berwick.  He was courteous and responsive and I appreciated him seeing me under very adverse circumstances. Sadly Brian died a couple of days ago.
Some people, like NEMH member Charlie Foskett, had great recall of the event-remarkable because no-one knew, of course, that they were witnessing the first UK gig of the outfit who would become the world's biggest rock band in the 1970’s.  Others remembered less but I still unearthed lots of great information that has never seen print before.
I got off to a bit of a false start by spending a fair amount of time trying to track down Terry Reid, who was credited on the advance tickets as the main support act.
Terry rang me and told me that, no, his band Fanasia didn’t play the gig because they were off supporting Cream on their Farewell US tour!
This was why, I surmised, New York Public Library were credited on the Evening Chronicle adverts, which would, of course, have gone to press a lot later than the advance tickets.  They’d have been the replacement for Reid.  It took a bit of scurrying around (with the deadline looming!) but I managed to get hold of a couple of guys from the band.  One was convinced that the gig took place in Glasgow, but I quickly managed to disprove that to him.  The other, Tez Stokes, NYPL’s guitarist, was a very good interviewee with a good memory of the event, enhanced by him already slightly knowing John Paul Jones and Jimmy Page.
I was pretty happy with the finished article and the reaction to it.
This is exactly the sort of article I like doing where I can locate people and untold information to tell a story that has previously gone unrelated.  Zeppelin have been discussed, debated and written about non-stop since their split in 1980 following the death of John Bonham but very little exists about their first UK gig.  Until my article.  Thanks to Hazel and everybody else from NEMH who helped me do it.
     "
