,Date,Venue
0,"September 7, 1968","Teen-Clubs, Box 45, Egegaard Skole"
1,"September 7, 1968","Brondby Pop-Club, Norregardsskolen"
2,"September 8, 1968",Reventlowparken
3,"September 8, 1968",Fjordvilla Club
4,"September 8, 1968",Teaterbygningen
5,"September 12, 1968",Stora Scenen / Grona Lund Amusement Park / Tivoli Garden
6,"September 13, 1968",Inside Club
7,"September 14, 1968",Angby Park
8,"September 15, 1968",Liseberg Amusement Park
9,"September 17, 1968",Folkets Park (cancelled)
10,"October 4, 1968",Mayfair Ballroom
11,"October 18, 1968",Marquee
12,"October 19, 1968",Liverpool University
13,"October 25, 1968",University of Surrey - Great Hall
14,"October 26, 1968",Ewell Tech College
15,"November 9, 1968",Roundhouse
16,"November 23, 1968",Sheffield University
17,"November 29, 1968",Crawdaddy / Richmond Athletic Ground
18,"December 10, 1968",Marquee
19,"December 13, 1968",Bridge Place Country Club
20,"December 14, 1968",Leeds University - Student's Union
21,"December 15, 1968",Country Club
22,"December 16, 1968",Bath Pavillion
23,"December 19, 1968",Civic Hall
24,"December 20, 1968",Fishmongers Arms
25,"December 26, 1968",Auditorium Arena
26,"December 27, 1968",Seattle Center Arena
27,"December 28, 1968",Pacific Coliseum
28,"December 29, 1968",Civic Auditorium (OR)
29,"December 30, 1968","Gonzaga University, Kennedy Pavilion"
30,"January 2, 1969",Whisky a Go Go
31,"January 4, 1969",Whisky a Go Go
32,"January 5, 1969",Whisky a Go Go
33,"January 9, 1969",Fillmore West
34,"January 10, 1969",Fillmore West
35,"January 11, 1969",Fillmore West
36,"January 12, 1969",Fillmore West
37,"January 15, 1969",University of Iowa Memorial Union
38,"January 17, 1969",The Grande Ballroom
39,"January 18, 1969",The Grande Ballroom
40,"January 19, 1969",The Grande Ballroom
41,"January 20, 1969",Wheaton Youth Center (Unconfirmed rumour)
42,"January 23, 1969",Boston Tea Party
43,"January 24, 1969",Boston Tea Party
44,"January 25, 1969",Boston Tea Party
45,"January 26, 1969",Boston Tea Party
46,"January 31, 1969",Fillmore East
47,"February 1, 1969",Fillmore East
48,"February 2, 1969",The Rock Pile
49,"February 7, 1969",Kinetic Playground
50,"February 8, 1969",Kinetic Playground
51,"February 10, 1969",State University (Field House) *Unconfirmed
52,"February 14, 1969",Thee Image Club
53,"February 15, 1969",Thee Image Club
54,"February 16, 1969",Civic Center (Baltimore)
55,"February 24, 1969",Club Lafayette
56,"March 1, 1969",Van Dike Club (CANCELLED)
57,"March 3, 1969",Playhouse Theatre
58,"March 7, 1969",Bluesville 69 Club / Hornsey Wood Tavern
59,"March 8, 1969",College of Technology
60,"March 13, 1969",De Montfort Hall
61,"March 14, 1969",Sveriges Radio TV Studios
62,"March 14, 1969",Uppsala University Hall
63,"March 14, 1969",Konserthuset
64,"March 15, 1969","Brondby Pop-Club, Norregardsskolen"
65,"March 15, 1969","Teen-Clubs, Box 45, Egegaard Skole"
66,"March 16, 1969",Tivolis Koncertsal
67,"March 17, 1969",TV Byen / Danmarks Radio
68,"March 18, 1969",Supershow
69,"March 19, 1969",Maida Vale BBC Studios
70,"March 21, 1969",BBC TV Lime Grove Studios
71,"March 22, 1969",Mothers Club
72,"March 23, 1969",The Argus Butterfly
73,"March 27, 1969",Beat Club (TV)
74,"March 28, 1969",Marquee
75,"March 29, 1969",Bromley College of Technology
76,"March 30, 1969",Farx Club
77,"March 31, 1969",Cooks Ferry Inn
78,"April 1, 1969",Klooks Kleek
79,"April 2, 1969",Top Rank Suite Club
80,"April 5, 1969",Dagenham Roundhouse
81,"April 6, 1969",Boat Club
82,"April 8, 1969",Bluesville 69 Club / The Cherry Tree
83,"April 13, 1969",Kimbells
84,"April 15, 1969",The Place (Cancelled Show)
85,"April 16, 1969",Toby Jug
86,"April 17, 1969",Club Lafayette
87,"April 24, 1969",Fillmore West
88,"April 25, 1969",Winterland
89,"April 26, 1969",Winterland
90,"April 27, 1969",Fillmore West
91,"May 1, 1969",Crawford Hall
92,"May 2, 1969",Rose Palace
93,"May 3, 1969",Rose Palace
94,"May 9, 1969",Edmonton Garden
95,"May 10, 1969",PNE Agrodome
96,"May 11, 1969",Green Lake Aqua Theatre
97,"May 13, 1969",Civic Auditorium (Honolulu)
98,"May 16, 1969",The Grande Ballroom
99,"May 17, 1969",O. U. Convocation Center
100,"May 18, 1969",Tyrone Guthrie Theater
101,"May 23, 1969",Kinetic Playground
102,"May 24, 1969",Kinetic Playground
103,"May 25, 1969",Merriweather Post Pavilion
104,"May 27, 1969",Boston Tea Party
105,"May 28, 1969",Boston Tea Party
106,"May 29, 1969",Boston Tea Party
107,"May 30, 1969",Fillmore East
108,"May 31, 1969",Fillmore East
109,"June 13, 1969",Town Hall (Birmingham)
110,"June 15, 1969",Free Trade Hall
111,"June 16, 1969",Aeolian Hall (BBC)
112,"June 19, 1969",Antenne Culturelle du Kremlin-Bicêtre (Tous En Scene)
113,"June 20, 1969",City Hall (Newcastle)
114,"June 21, 1969",Colston Hall
115,"June 24, 1969",Maida Vale BBC Studios
116,"June 26, 1969",The Guildhall
117,"June 27, 1969",Playhouse Theatre
118,"June 28, 1969",Recreation Ground (Bath)
119,"June 29, 1969",Royal Albert Hall
120,"July 5, 1969",Atlanta International Raceway (Atlanta Pop Festival)
121,"July 6, 1969",Newport Jazz Festival
122,"July 11, 1969",Laurel Pop Festival (Laurel Race Track)
123,"July 12, 1969",Spectrum
124,"July 18, 1969",Kinetic Playground
125,"July 19, 1969",Kinetic Playground
126,"July 20, 1969",Musicarnival
127,"July 21, 1969",Central Park (Wollman Rink Theater) / Schaefer Music Festival
128,"July 25, 1969",State Fair Grounds / Mid-West Rock Festival
129,"July 26, 1969",PNE Agrodome
130,"July 27, 1969",Gold Creek Park (Seattle Pop Festival)
131,"July 29, 1969",Kinsmen Field House
132,"July 30, 1969",Terrace Ballroom
133,"August 1, 1969",Earl Warren Showgrounds
134,"August 2, 1969",Civic Auditorium (NM)
135,"August 3, 1969",Houston Music Hall
136,"August 4, 1969",State Fair Coliseum
137,"August 7, 1969",Ice Palace
138,"August 8, 1969",Swing Auditorium
139,"August 9, 1969",Anaheim Convention Center
140,"August 10, 1969",Sports Arena
141,"August 14, 1969",Austin Municipal Auditorium
142,"August 15, 1969",Convention Arena (HemisFair)
143,"August 16, 1969",Convention Hall
144,"August 17, 1969",Oakdale Musical Theatre
145,"August 18, 1969",The Rock Pile
146,"August 20, 1969",Aerodrome
147,"August 21, 1969",Carousel Theatre
148,"August 22, 1969",Pirates World
149,"August 23, 1969",Pirates World
150,"August 24, 1969",Jacksonville Coliseum
151,"August 25, 1969",Delano Motor Lodge (Cancelled)
152,"August 27, 1969",Casino Ballroom
153,"August 29, 1969",Singer Bowl Music Festival (State Pavilion)
154,"August 30, 1969",Singer Bowl Music Festival (State Pavilion)
155,"August 31, 1969",Texas International Pop Festival
156,"October 3, 1969",Circus Theatre
157,"October 4, 1969",De Doelen
158,"October 5, 1969",Concertgebouw
159,"October 10, 1969",Olympia
160,"October 12, 1969",The Lyceum Theatre
161,"October 17, 1969",Carnegie Hall
162,"October 18, 1969",Olympia Stadium
163,"October 19, 1969",Kinetic Playground
164,"October 24, 1969",Public Auditorium
165,"October 25, 1969",Boston Garden
166,"October 30, 1969",Kleinhans Music Hall
167,"October 31, 1969",Springfield Municipal Auditorium
168,"November 1, 1969",Onondaga War Memorial
169,"November 2, 1969",O'Keefe Centre
170,"November 4, 1969",Kitchener Memorial Auditorium
171,"November 5, 1969",Memorial Hall
172,"November 6, 1969",Winterland
173,"November 7, 1969",Winterland
174,"November 8, 1969",Winterland
175,"December 6, 1969",L'Ecole Centrale (Piston 70)
176,"January 7, 1970",Town Hall (Birmingham)
177,"January 8, 1970",Colston Hall
178,"January 9, 1970",Royal Albert Hall
179,"January 13, 1970",The Guildhall
180,"January 15, 1970",City Hall (Newcastle)
181,"January 16, 1970",City (Oval) Hall
182,"January 24, 1970",Leeds University - Student's Union
183,"February 17, 1970",Usher Hall
184,"February 23, 1970",Kulttuuritalo
185,"February 25, 1970",Konserthuset
186,"February 26, 1970",Konserthuset
187,"February 28, 1970",K. B. Hallen
188,"March 7, 1970",Montreux Casino
189,"March 8, 1970",Circus Krone Bau
190,"March 9, 1970",Konzerthaus
191,"March 10, 1970",Musikhalle
192,"March 11, 1970",Musikhalle
193,"March 12, 1970",Rheinhalle
194,"March 21, 1970",Pacific Coliseum
195,"March 22, 1970",Seattle Center Arena
196,"March 23, 1970",Memorial Coliseum (Portland)
197,"March 25, 1970",Denver Coliseum
198,"March 26, 1970",Salt Palace
199,"March 27, 1970",The Forum
